Query,DS,FQA,PT,TT,RT,NR
0,76,3127086,2213200,689300,2894790500,0
1,61,1914600,5881100,619200,2647512500,0
2,97,3477185,4653200,1406600,2623982300,0
3,54,2180744,13027100,523300,2595720800,0
4,86,4343034,10679800,925500,2763973100,164
5,61,2840339,9336800,826000,2595962700,0
6,76,3866316,7011400,575300,2795334200,0
7,58,1609801,8571100,773800,2674623800,756
8,65,2770288,11700700,521900,2606402100,0
9,102,3293916,2321000,592900,2732119500,0
10,87,3924890,9396800,887000,2720957300,0
11,57,3609953,6359500,575200,2946986100,0
12,52,2861124,5253900,332100,2537127400,0
13,54,2138139,16109400,640100,2527158400,0
14,77,4253776,5109100,756800,2335237900,0
15,57,3317306,4806000,538100,2866887800,0
16,58,9202974,11295900,522100,3716547800,17573
17,135,3808942,41491800,1900000,2572354000,0
18,64,2640704,11581800,540600,2534008000,0
19,94,4562727,5767200,645200,2834489800,0
20,63,2827453,17628400,592500,2735032900,0
21,66,2153357,7125900,942000,2838317500,0
22,60,2158577,11727400,854600,2648256000,0
23,85,10710970,9089500,618900,4864907900,4285
24,66,2234310,13708000,492100,2756309600,0
25,75,2552274,8673900,497500,2543987700,0
26,89,4223333,11713500,540800,2993306100,68
27,66,2908576,9554900,425700,3302719500,0
28,61,1916546,12225500,593500,2902389000,0
29,49,6603573,18595200,500600,3612127600,2307
30,47,1276460,12463900,353300,2496384300,0
31,69,3314496,3302200,566400,2984264500,0
32,47,2712367,11786800,353300,2700985500,12047
33,84,2986516,14474400,572200,2501270500,0
34,47,1497440,13214300,560100,2397144700,0
35,62,2355868,4676200,729800,2822046900,2559
36,78,3790913,11462100,964500,2983216300,0
37,71,4061999,9827900,556900,2886489500,180
38,38,1829052,5489600,288300,2436164700,0
39,52,2614068,12761700,745600,2533669100,0
40,106,4387645,16109600,772500,2636880400,0
41,112,10069244,5918900,953200,3688580400,0
42,47,2269402,10063300,514600,2417138100,0
43,70,2149163,6354000,753500,2746566400,0
44,80,3085674,9760600,694200,2617523200,0
45,75,2552312,8549700,874000,2343277000,0
46,72,2822733,10635600,473500,2545797800,0
47,53,1900475,4508500,572000,2829339700,0
48,96,3358670,10044100,1124000,2646885100,0
49,77,4155552,7725600,776500,2816000400,18049
