Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,7,1422,6638500,108900,6046088900,0
2_1_1_1,7,63823,26682900,154600,5682816500,0
2_1_1_2,7,2920,27032300,156800,6075174200,0
2_1_1_3,7,1642,27709600,156700,5885616200,0
2_1_1_4,7,174,26474500,164800,5694672900,0
2_1_1_5,7,1646,26531700,154800,5673856300,0
2_1_1_6,3,94362,26300400,110400,5841022000,0
2_1_1_7,7,29485,27056600,154000,5845427800,0
2_1_1_8,7,22776,26561400,152600,5613746400,0
2_1_1_9,5,75619,26315500,186800,5731891400,973
2_1_3_0,15,4745,26212700,172200,5797017600,0
2_1_3_1,13,146113,26359400,197200,5742608300,0
2_1_3_2,13,10538,26408000,214000,5610428700,0
2_1_3_3,11,10413,33123000,357300,5867475600,0
2_1_3_4,13,309598,26052100,189000,5956837300,0
2_1_3_5,15,95190,26203300,194400,5724022500,0
2_1_3_6,15,308974,26627300,220900,5965292900,0
2_1_3_7,11,24992,27662400,198500,6304483500,0
2_1_3_8,11,13932,26566700,179400,5703395000,0
2_1_3_9,13,150850,33918400,194600,6112812000,0
2_1_5_0,21,65085,26443700,219500,5873860700,0
2_1_5_1,21,521634,27002800,259500,6112058800,0
2_1_5_2,23,168204,33044300,277500,5920287000,0
2_1_5_3,23,120431,31313900,276700,5851273100,0
2_1_5_4,19,16297,30628500,226600,5604700200,0
2_1_5_5,21,12901,26250100,239200,5730460000,0
2_1_5_6,23,36148,26409100,265200,5720920600,0
2_1_5_7,23,14385,25346000,252600,5635524800,0
2_1_5_8,21,31830,26505000,239400,5625057600,0
2_1_5_9,19,354648,26903100,271100,5608669900,0
2_2_1_0,17,78218,26840400,222200,5593859400,0
2_2_1_1,17,917,26617200,199700,5677146200,0
2_2_1_2,9,22032,26454600,212200,5693554200,11016
2_2_1_3,17,5452,26191000,195400,5564236400,0
2_2_1_4,17,3994,26536900,250800,5644951200,0
2_2_1_5,17,331509,26303600,200200,5812744100,0
2_2_1_6,17,62453,25354100,209400,5562459000,0
2_2_1_7,17,2156,26387300,203500,5616968400,0
2_2_1_8,17,27370,26722600,205400,5769464100,0
2_2_1_9,17,23749,26392800,205000,5637464400,0
2_2_3_0,29,50693,26588000,272000,5632856000,0
2_2_3_1,27,83283,27144000,259900,5743867600,0
2_2_3_2,27,385535,26323900,251800,5900594200,0
2_2_3_3,31,132521,26888700,306900,5694273300,0
2_2_3_4,31,65516,26537400,288100,5729579800,0
2_2_3_5,25,48330,26110900,238000,5691714400,0
2_2_3_6,29,406506,31599800,253800,5755492200,0
2_2_3_7,27,68386,26751500,264900,5539802800,0
2_2_3_8,27,28424,26156500,254300,5591769700,0
2_2_3_9,27,90481,26402100,264700,5709261600,0
2_2_5_0,49,88385,26466400,442300,5616195300,0
