Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,7,1514,24475300,107500,8941396000,0
2_1_1_1,7,94846,40830400,126800,7899186800,0
2_1_1_2,7,2922,35973600,113700,9966826600,0
2_1_1_3,7,1628,35477900,135200,8310401800,0
2_1_1_4,7,185,36261500,124400,10606032200,0
2_1_1_5,7,1705,35767800,131500,8230070100,0
2_1_1_6,3,141436,36140900,79400,14382103900,0
2_1_1_7,7,45124,36694100,118000,8469814200,0
2_1_1_8,7,34218,35959600,117500,16059185600,0
2_1_1_9,5,113777,36390900,102800,9963913500,1350
2_1_3_0,15,4708,35150800,169000,15437877000,0
2_1_3_1,13,219476,37314600,222300,13444159900,0
2_1_3_2,13,15601,35383800,160500,16174756000,0
2_1_3_3,11,15435,47160900,206300,8375953600,0
2_1_3_4,13,461389,38573100,187000,11295195000,0
2_1_3_5,15,142977,36763000,175500,8085077400,0
2_1_3_6,15,460870,35454300,187000,8106310500,0
2_1_3_7,11,36853,35698300,133000,8033621800,0
2_1_3_8,11,20454,35979900,151800,15393343800,0
2_1_3_9,13,225768,37967400,170600,11926604900,0
2_1_5_0,21,95124,39674900,202000,10543178000,0
2_1_5_1,21,780109,41276800,223300,8172348200,0
2_1_5_2,23,251629,35816100,242000,7979381500,0
2_1_5_3,23,178446,35610500,191900,12918626300,0
2_1_5_4,19,21796,35737800,194300,9963106200,0
2_1_5_5,21,17981,35341300,260800,8291078900,0
2_1_5_6,23,52161,35448500,234400,8560593600,0
2_1_5_7,23,19956,35168700,219900,11216545700,0
2_1_5_8,21,47455,36968600,231700,12139396900,0
2_1_5_9,19,529626,35594700,218000,8190899400,0
2_2_1_0,17,117940,38566300,189900,9919719500,0
2_2_1_1,17,928,35343700,144600,8937255600,0
2_2_1_2,9,33022,35840400,125200,10388855900,16511
2_2_1_3,17,5475,35484900,162400,8101259100,0
2_2_1_4,17,4054,35219700,176300,8633688200,0
2_2_1_5,17,495688,35137000,175800,8331523800,0
2_2_1_6,17,92483,37548300,167300,8643523800,0
2_2_1_7,17,2264,37379600,185600,8081605800,0
2_2_1_8,17,41021,35569300,180200,9577210900,0
2_2_1_9,17,35517,35138300,187000,7866558000,0
2_2_3_0,29,73814,35391000,209800,13168786700,0
2_2_3_1,27,122886,35386300,220300,10949250100,0
2_2_3_2,27,573917,35313100,255700,10376352800,0
2_2_3_3,31,198588,35771600,244100,8050940200,0
2_2_3_4,31,98191,35246500,273900,7864292900,0
2_2_3_5,25,70522,35077500,189600,14876926500,0
2_2_3_6,29,609325,36203900,245100,15893084900,0
2_2_3_7,27,101271,35176300,218000,14879415500,0
2_2_3_8,27,41436,35374100,369800,15562138600,0
2_2_3_9,27,136284,35168400,253900,13089853600,0
2_2_5_0,49,132243,35284900,517400,15876992300,0
2_2_5_1,45,739922,35436900,331300,8729982900,0
2_2_5_2,45,655646,35482200,437900,12545240300,0
2_2_5_3,47,25741,40293900,389600,8075423500,0
2_2_5_4,45,602362,35886400,385000,8021702300,0
2_2_5_5,45,503816,35459000,390200,7936626800,0
2_2_5_6,47,108701,35335900,358200,8109110200,0
2_2_5_7,43,394662,35344200,347900,7871435300,0
2_2_5_8,45,469458,35117200,546000,9920884900,0
2_2_5_9,43,48224,35337300,352900,10817962000,0
2_3_1_0,27,138425,35360400,234400,8545574300,0
2_3_1_1,27,4248,35316700,209800,9466438200,0
2_3_1_2,27,91270,35450500,195100,8269664400,0
2_3_1_3,27,97856,35409700,195700,8626836900,0
2_3_1_4,27,45889,34959400,223100,9046014100,0
2_3_1_5,27,65946,35723800,203800,10380428300,0
2_3_1_6,27,9057,40831200,226300,8345132700,0
2_3_1_7,21,5436,35507300,186000,10392256900,0
2_3_1_8,21,97480,34975300,174300,9852944700,371
2_3_1_9,27,2,39889300,237500,13867305900,0
2_3_3_0,49,392676,35238300,490600,8365423400,0
2_3_3_1,43,124266,35448300,319900,9367512800,0
2_3_3_2,45,111642,42004200,320100,8366962600,0
2_3_3_3,39,336035,38075000,294400,16092983900,0
2_3_3_4,45,826242,35481400,336100,11394334200,0
2_3_3_5,47,109851,35350000,352200,15870822800,0
2_3_3_6,49,204101,35543400,358200,9325060100,0
2_3_3_7,45,219045,35676000,311000,16036241200,0
2_3_3_8,43,126149,35447300,325900,11012830700,0
2_3_3_9,45,529231,35515200,309400,16193712200,0
2_3_5_0,71,266055,35461200,608800,13028927300,0
2_3_5_1,73,325210,35396400,597800,15649333900,0
2_3_5_2,71,226921,35155200,684000,9117637600,0
2_3_5_3,63,688983,36425700,485400,12101127600,0
2_3_5_4,67,259452,34981600,556500,10463423300,0
2_3_5_5,69,261987,35691600,2701800,12370046100,0
2_3_5_6,71,192080,35404800,551000,9046313700,0
2_3_5_7,71,280222,36303500,577500,8025528800,0
2_3_5_8,65,96047,35441300,467600,8174779700,0
2_3_5_9,71,182567,35334500,592300,8736856000,0
3_1_1_0,10,152607,45764500,145600,8283430600,0
3_1_1_1,8,15371,35460700,122600,10465321100,0
3_1_1_2,10,1115,35283100,122400,7874316500,0
3_1_1_3,10,521844,40502400,159300,8294880400,0
3_1_1_4,10,492939,35543700,119100,11596050500,0
3_1_1_5,8,85808,35358700,141900,9654406100,0
3_1_1_6,6,487161,35332100,99600,16007611200,0
3_1_1_7,8,68624,35601200,113300,11875576000,0
3_1_1_8,6,527,35378600,114400,9418010900,0
3_1_1_9,10,530979,35703500,116300,8318885400,0
3_1_3_0,20,527278,36698900,182300,8200155300,0
3_1_3_1,18,177407,35287700,169100,7910626200,0
3_1_3_2,20,236619,35251800,183900,12098217100,0
3_1_3_3,22,91726,35722200,163700,11934781300,0
3_1_3_4,22,3745,35592900,168900,10156916200,0
3_1_3_5,22,104042,35730500,193000,8062346500,0
3_1_3_6,18,1790,35531300,168100,8129906700,0
3_1_3_7,16,107064,35877400,177200,8051767600,0
3_1_3_8,20,42664,35522200,210100,15169643600,0
3_1_3_9,20,53647,35809300,194100,16772992400,0
3_1_5_0,34,298256,36346400,285100,15818159400,0
3_1_5_1,32,112067,35455100,240800,15735592500,0
3_1_5_2,30,228527,35348600,236400,15768739700,0
3_1_5_3,28,182737,42394400,233400,15723833400,0
3_1_5_4,32,695009,35317400,238900,15835579500,0
3_1_5_5,32,73472,35451500,252800,11440941200,0
3_1_5_6,32,196329,35510600,292300,8120446200,0
