Query,NR,PM,TM
2_1_1_0,0,0,-175710440
2_1_1_1,0,0,40613256
2_1_1_2,0,0,1239496
2_1_1_3,0,3596528,-57484960
2_1_1_4,0,0,-9201488
2_1_1_5,0,0,98081488
2_1_1_6,0,0,45893840
2_1_1_7,0,0,-63981160
2_1_1_8,0,0,-10665560
2_1_1_9,0,0,-56878288
2_1_3_0,0,0,127984304
2_1_3_1,0,0,-145895760
2_1_3_2,0,0,171287616
2_1_3_3,0,0,-117651616
2_1_3_4,0,0,53480544
2_1_3_5,3565088,0,-64329200
2_1_3_6,0,0,-13913392
2_1_3_7,0,0,-23180296
2_1_3_8,0,0,115682224
2_1_3_9,0,0,-121215944
2_1_5_0,0,0,131925216
2_1_5_1,0,0,-11513600
2_1_5_2,0,0,-127738840
2_1_5_3,2088,0,46736560
2_1_5_4,0,0,-39172232
2_1_5_5,0,0,131685504
2_1_5_6,0,3565024,-114083840
2_1_5_7,0,0,-21392576
2_1_5_8,0,0,67506696
2_1_5_9,0,0,53780776
2_2_1_0,0,0,-63017624
2_2_1_1,0,0,67253280
2_2_1_2,0,0,-88219280
2_2_1_3,0,0,-39183960
2_2_1_4,0,0,107945840
2_2_1_5,0,0,-98984960
2_2_1_6,0,0,108098496
2_2_1_7,0,0,23048192
2_2_1_8,0,0,-66210136
2_2_1_9,0,0,9500232
2_2_3_0,0,0,-70209264
2_2_3_1,0,0,36205528
2_2_3_2,0,0,102856168
2_2_3_3,0,0,-38377112
2_2_3_4,0,0,-60077528
2_2_3_5,0,0,-51937944
2_2_3_6,0,0,111620008
2_2_3_7,0,0,19075976
2_2_3_8,0,0,-39116984
2_2_3_9,0,0,-74983512
2_2_5_0,0,0,95569048
2_2_5_1,0,0,-11924192
2_2_5_2,0,0,-64505856
2_2_5_3,0,0,-28203216
2_2_5_4,0,0,23138328
2_2_5_5,0,0,102371656
2_2_5_6,0,0,34489808
2_2_5_7,0,0,-91575128
2_2_5_8,0,0,-57419792
2_2_5_9,0,0,128682120
2_3_1_0,0,0,6635448
2_3_1_1,0,0,-90056864
2_3_1_2,0,0,110120248
2_3_1_3,0,0,-83094344
2_3_1_4,0,0,11965496
2_3_1_5,0,0,47673672
2_3_1_6,0,0,-72978648
2_3_1_7,0,0,30327456
2_3_1_8,0,0,-7287200
2_3_1_9,0,0,-68665952
2_3_3_0,0,0,109000736
2_3_3_1,0,0,-140878528
2_3_3_2,0,0,114522536
2_3_3_3,0,0,2498304
2_3_3_4,0,0,-41329472
2_3_3_5,0,0,12987472
2_3_3_6,0,0,-52313272
2_3_3_7,0,0,-887528
2_3_3_8,0,3544064,102793416
2_3_3_9,0,0,-118410888
2_3_5_0,0,0,89582888
2_3_5_1,0,0,-89769392
2_3_5_2,0,0,82628800
2_3_5_3,0,3753784,30454848
2_3_5_4,0,0,-42999632
2_3_5_5,0,0,-64576864
2_3_5_6,0,0,129178120
2_3_5_7,0,3711792,-156056864
2_3_5_8,0,3732816,111832136
2_3_5_9,0,0,-78927080
3_1_1_0,0,0,36076544
3_1_1_1,3564992,0,-64270064
3_1_1_2,0,0,131351856
3_1_1_3,0,0,-93774736
3_1_1_4,0,0,-18479120
3_1_1_5,0,0,106789616
3_1_1_6,0,0,10832328
3_1_1_7,0,0,-71254936
3_1_1_8,0,0,-65529200
3_1_1_9,0,0,108345248
3_1_3_0,0,0,-122497496
3_1_3_1,0,0,114540344
3_1_3_2,0,0,-128758896
3_1_3_3,0,0,111217112
3_1_3_4,0,0,-8432144
3_1_3_5,0,0,-55386048
3_1_3_6,0,0,87313936
3_1_3_7,0,0,-66262632
3_1_3_8,0,0,-40022080
3_1_3_9,0,0,100250896
3_1_5_0,0,0,-108997360
3_1_5_1,0,0,94978800
3_1_5_2,0,0,-80867544
3_1_5_3,0,0,82865136
3_1_5_4,0,0,37618896
3_1_5_5,0,0,-43283496
3_1_5_6,0,0,-64274664
3_1_5_7,0,0,-45035864
3_1_5_8,0,3701624,-142688
3_1_5_9,0,0,95876992
3_2_1_0,0,0,-70202120
3_2_1_1,0,0,50636096
3_2_1_2,0,0,-48918272
3_2_1_3,0,0,108212336
3_2_1_4,0,0,-75162920
3_2_1_5,0,0,-51439768
3_2_1_6,0,0,108097560
3_2_1_7,0,0,26141016
3_2_1_8,0,0,-33583544
3_2_1_9,0,0,-64611208
3_2_3_0,0,0,-41181928
3_2_3_1,0,0,-401608
3_2_3_2,0,0,109354728
3_2_3_3,0,0,10584512
3_2_3_4,0,3617512,-78530384
3_2_3_5,0,0,-20587576
3_2_3_6,0,0,-31496088
3_2_3_7,0,0,102415448
3_2_3_8,0,0,10293488
3_2_3_9,0,3586128,51595328
3_2_5_0,0,0,-83861400
3_2_5_1,0,0,87695936
3_2_5_2,0,-176628432,153078024
3_2_5_3,0,0,-68020424
3_2_5_4,0,0,-10662680
3_2_5_5,0,0,-56867424
3_2_5_6,0,0,131515944
3_2_5_7,0,0,1801272
3_2_5_8,0,3439184,-129845464
3_2_5_9,0,0,25066184
3_3_1_0,0,0,3953016
3_3_1_1,2088,0,-55582608
3_3_1_2,0,0,105983840
3_3_1_3,0,0,1851456
3_3_1_4,0,0,49924000
3_3_1_5,0,0,-155886432
3_3_1_6,3575480,0,77938592
3_3_1_7,0,0,-63709544
3_3_1_8,0,0,21151824
3_3_1_9,0,3544080,-45923752
3_3_3_0,0,0,138910280
3_3_3_1,0,0,-75462264
3_3_3_2,0,0,71900488
3_3_3_3,0,0,-60832672
3_3_3_4,0,0,-20999584
3_3_3_5,0,0,-25278104
3_3_3_6,0,0,108343056
3_3_3_7,0,0,-126115432
3_3_3_8,0,3544080,114582056
3_3_3_9,0,0,27161520
3_3_5_0,0,0,-62283368
3_3_5_1,0,0,-22738984
3_3_5_2,0,0,103433752
3_3_5_3,0,0,567786840
3_3_5_4,0,0,-66097616
3_3_5_5,0,3648888,-12009200
3_3_5_6,0,3544112,93923432
3_3_5_7,0,3690880,39004264
3_3_5_8,0,0,-76355864
3_3_5_9,0,0,-77954792
