Query,NR,PM,TM
2_1_1_0,6290320,2044808,82355904
2_1_1_1,0,0,46377984
2_1_1_2,0,362208,-12130856
2_1_1_3,0,0,85119744
2_1_1_4,0,0,-92345352
2_1_1_5,0,215368,67469248
2_1_1_6,0,0,-92285424
2_1_1_7,0,0,74581152
2_1_1_8,0,0,31810392
2_1_1_9,0,0,-95810176
2_1_3_0,0,56488,87159256
2_1_3_1,0,0,48049656
2_1_3_2,0,0,-149313632
2_1_3_3,0,0,60115232
2_1_3_4,0,0,-95238368
2_1_3_5,0,0,56668504
2_1_3_6,0,0,38551720
2_1_3_7,0,0,71229560
2_1_3_8,0,0,-97155504
2_1_3_9,0,0,203474320
2_1_5_0,0,0,-259052880
2_1_5_1,0,3559608,245197312
2_1_5_2,0,11200,-160009976
2_1_5_3,0,7016,152111408
2_1_5_4,0,0,-115273984
2_1_5_5,0,0,87456880
2_1_5_6,0,0,-111073104
2_1_5_7,0,0,252052344
2_1_5_8,0,0,-374815040
2_1_5_9,0,0,183950296
2_2_1_0,0,0,-175519480
2_2_1_1,0,0,207593088
2_2_1_2,0,0,-81864352
2_2_1_3,0,0,184167696
2_2_1_4,0,0,-188846376
2_2_1_5,0,0,59942464
2_2_1_6,0,0,17196576
2_2_1_7,0,0,-1214576
2_2_1_8,0,0,223148504
2_2_1_9,0,0,-263323624
2_2_3_0,0,0,139441144
2_2_3_1,0,0,59523880
2_2_3_2,0,0,-333648824
2_2_3_3,0,0,319129904
2_2_3_4,0,4425192,98833448
2_2_3_5,0,0,-276441648
2_2_3_6,0,0,196739896
2_2_3_7,0,0,-42194112
2_2_3_8,0,4120680,-303300576
2_2_3_9,0,0,325902712
2_2_5_0,0,0,48447120
2_2_5_1,0,0,-295196296
2_2_5_2,0,0,159777216
2_2_5_3,0,0,132462488
2_2_5_4,0,0,-296952216
2_2_5_5,0,0,105976072
2_2_5_6,0,0,247743112
2_2_5_7,0,4718424,-323609136
2_2_5_8,0,0,130132088
2_2_5_9,0,0,159874072
2_3_1_0,0,0,153429608
2_3_1_1,0,0,-522841488
2_3_1_2,0,4686984,194826304
2_3_1_3,0,0,104795920
2_3_1_4,0,0,260645000
2_3_1_5,0,0,-473731944
2_3_1_6,0,0,143724864
2_3_1_7,0,0,183515968
2_3_1_8,0,0,143993904
2_3_1_9,0,0,-470828064
2_3_3_0,0,0,147967064
2_3_3_1,0,0,187094592
2_3_3_2,0,4487792,179574344
2_3_3_3,0,0,-484412920
2_3_3_4,0,0,-21914600
2_3_3_5,0,0,164146200
2_3_3_6,0,0,346279760
2_3_3_7,0,4341208,-519942400
2_3_3_8,0,0,114584704
2_3_3_9,0,0,217617416
2_3_5_0,0,4382952,-16725520
2_3_5_1,0,0,-473957792
2_3_5_2,0,0,143168104
2_3_5_3,0,0,355929112
2_3_5_4,0,4372360,140529752
2_3_5_5,0,0,-534896160
2_3_5_6,4464184,0,225398776
2_3_5_7,0,4351496,-4039776
2_3_5_8,0,4131280,323327800
2_3_5_9,0,0,-582524312
3_1_1_0,0,0,194790264
3_1_1_1,0,0,167440248
3_1_1_2,0,0,174058976
3_1_1_3,0,0,-528289368
3_1_1_4,0,0,154877712
3_1_1_5,0,0,163314656
3_1_1_6,0,0,130494832
3_1_1_7,0,0,-449718520
3_1_1_8,0,0,100515816
3_1_1_9,0,0,260361040
3_1_3_0,0,0,180046352
3_1_3_1,0,0,-509991536
3_1_3_2,0,0,183581616
3_1_3_3,0,0,143961592
3_1_3_4,0,0,182853264
3_1_3_5,0,0,-510050128
3_1_3_6,0,0,191373320
3_1_3_7,0,0,178784432
3_1_3_8,0,0,173504112
3_1_3_9,0,0,-670434208
3_1_5_0,0,0,160217344
3_1_5_1,0,0,150380416
3_1_5_2,0,0,367679192
3_1_5_3,0,0,-503850776
3_1_5_4,0,0,140350360
3_1_5_5,0,0,35495960
3_1_5_6,0,0,222683528
3_1_5_7,0,0,-444111120
3_1_5_8,0,0,201445584
3_1_5_9,0,0,183578480
3_2_1_0,-207554472,0,175725312
3_2_1_1,0,0,-478046032
3_2_1_2,0,0,338026408
3_2_1_3,0,0,91098112
3_2_1_4,2088,0,204954040
3_2_1_5,0,0,-468469928
3_2_1_6,0,0,171974920
3_2_1_7,0,0,-27038504
3_2_1_8,0,0,175985104
3_2_1_9,0,0,-511100112
3_2_3_0,0,0,356931272
3_2_3_1,0,0,126143752
3_2_3_2,0,0,17618384
3_2_3_3,0,0,-430747880
3_2_3_4,0,0,263501536
3_2_3_5,0,4708000,177061048
3_2_3_6,0,0,178986680
3_2_3_7,0,4240064,-694344344
3_2_3_8,0,0,180186752
3_2_3_9,0,0,147143168
3_2_5_0,0,0,355929544
3_2_5_1,0,0,-513151824
3_2_5_2,0,0,114759152
3_2_5_3,0,4466792,221790768
3_2_5_4,0,0,-12384456
3_2_5_5,0,0,-486196056
3_2_5_6,0,0,346512208
3_2_5_7,0,0,127917096
3_2_5_8,0,0,30006304
3_2_5_9,0,0,-419606024
3_3_1_0,0,0,210014272
3_3_1_1,0,0,214025296
3_3_1_2,0,4403864,-6855464
3_3_1_3,0,0,-330555552
3_3_1_4,0,0,84383368
3_3_1_5,0,0,209835104
3_3_1_6,0,0,147333104
3_3_1_7,0,0,-463208048
3_3_1_8,0,0,179892520
3_3_1_9,0,0,-32460008
3_3_3_0,0,0,180080640
3_3_3_1,0,0,-489894920
3_3_3_2,0,0,337677144
3_3_3_3,0,4435792,103439840
3_3_3_4,0,4498296,216178984
3_3_3_5,0,4372440,-662712760
3_3_3_6,0,0,353519440
3_3_3_7,0,0,124742216
3_3_3_8,0,0,116773616
3_3_3_9,0,0,-428083792
3_3_5_0,0,4351848,287160
3_3_5_1,0,4131256,323398712
3_3_5_2,0,4666000,66306128
3_3_5_3,0,0,-453028208
3_3_5_4,0,4550672,161045176
3_3_5_5,0,0,187021112
3_3_5_6,0,4508800,171223192
3_3_5_7,0,4278072,-488070328
3_3_5_8,0,4152208,-27514688
3_3_5_9,0,4152224,172040944
