Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,22,3715408,6931200,335100,6429535500,0
2_1_1_1,22,3744114,26476600,331600,6066579600,2494
2_1_1_2,22,3717682,26521500,266000,6339931300,194
2_1_1_3,22,3715600,26601500,298700,6288277800,118
2_1_1_4,22,3711566,26366200,297500,6033596300,0
2_1_1_5,22,3714639,26825600,399100,6001312700,3
2_1_1_6,18,4038858,26551100,242700,6167396100,0
2_1_1_7,22,3752082,26354100,297900,6484895800,947
2_1_1_8,22,3757676,26545200,298600,6390988000,190
2_1_1_9,20,4046602,26292800,251200,6484269300,6472
2_1_3_0,30,3716406,31973000,354700,6347835300,0
2_1_3_1,28,3827874,26439800,311700,6335377900,0
2_1_3_2,28,3712844,26702500,313600,6061366600,0
2_1_3_3,26,3711724,26588000,341800,6537924800,0
2_1_3_4,28,5497412,26960500,322500,7214363400,152
2_1_3_5,30,3789538,26425000,318700,6378666700,0
2_1_3_6,30,4327762,31526200,335800,6542492100,0
2_1_3_7,26,3714522,26422000,289000,6108112300,0
2_1_3_8,26,3711684,26186100,295100,6404821400,7
2_1_3_9,28,3883308,26399300,382000,6250872900,0
2_1_5_0,36,3711748,26276100,376200,6511802300,0
2_1_5_1,36,4123546,31157000,551200,6468766600,1528
2_1_5_2,38,3711554,26474200,390200,5945872500,0
2_1_5_3,38,3830996,26905800,560800,6314960000,0
2_1_5_4,34,3736254,27100000,388400,6397896300,0
2_1_5_5,36,3711566,26407100,350700,6299783700,0
2_1_5_6,38,3756366,26635900,375100,6372247000,0
2_1_5_7,38,3712318,26000100,368100,6378272800,0
2_1_5_8,36,3712448,26526700,361200,6209969500,0
2_1_5_9,34,3764692,26636800,377800,6627513900,21
2_2_1_0,46,9580299,26471200,463500,6656721200,18
2_2_1_1,46,9546296,26462700,386800,6124625400,63
2_2_1_2,38,9764316,24898400,338400,6171812600,20558
2_2_1_3,46,9558290,26599900,398100,6392613000,2749
2_2_1_4,46,9554650,26684800,715500,6381906700,706
2_2_1_5,46,12525920,26495900,473900,7383571800,425035
2_2_1_6,46,9547573,27916900,396100,7215064700,0
2_2_1_7,46,9550371,26469600,504100,6411226900,0
2_2_1_8,46,9552752,25259200,575800,6579169500,319
2_2_1_9,46,9544244,27865600,486600,6509394000,0
2_2_3_0,58,9551343,26419200,483600,6507591300,7
2_2_3_1,56,9635843,26313800,458400,6950804200,0
2_2_3_2,56,10404203,26454100,455600,7193212900,556
2_2_3_3,60,9596754,26606900,576300,6703223000,110
2_2_3_4,60,9660137,26521000,510100,6486449100,656
