Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
2_1_1_0,799014912,512282024,799014912,512282024,799014912,512282024,964689920,348859872,1560281088
2_1_1_1,964689920,348333536,964689920,348333536,964689920,348333536,1040187392,496709088,1560281088
2_1_1_2,1040187392,496182752,1040187392,496182752,1040187392,496182752,1040187392,424357344,1560281088
2_1_1_3,1040187392,423831008,1040187392,423831008,1040187392,423831008,1040187392,394995168,1560281088
2_1_1_4,1040187392,394995168,1040187392,394995168,1040187392,394995168,1040187392,516629984,1560281088
2_1_1_5,1040187392,516629984,1040187392,516629984,1040187392,516629984,1040187392,491464160,1560281088
2_1_1_6,1040187392,491464160,1040187392,491464160,1040187392,491464160,1040187392,410201568,1560281088
2_1_1_7,1040187392,409660880,1040187392,409660880,1040187392,409660880,1040187392,432223728,1560281088
2_1_1_8,1040187392,431683040,1040187392,431683040,1040187392,431683040,1066401792,422784480,1560281088
2_1_1_9,1066401792,422251984,1066401792,422251984,1066401792,422251984,1066401792,491990144,1560281088
2_1_3_0,1066401792,491449456,1066401792,491449456,1066401792,491449456,1066401792,425928160,1560281088
2_1_3_1,1066401792,425928160,1066401792,425405920,1066401792,425405920,1066401792,451093984,1560281088
2_1_3_2,1066401792,451093984,1066401792,450571744,1066401792,450571744,1066401792,510338528,1560281088
2_1_3_3,1066401792,509816288,1066401792,509816288,1066401792,509816288,1066401792,470494688,1560281088
2_1_3_4,1066401792,470494688,1066401792,469968352,1066401792,469968352,1066401792,505097696,1560281088
2_1_3_5,1066401792,505097696,1066401792,504571360,1066401792,504571360,1066401792,518202848,1560281088
2_1_3_6,1066401792,518202848,1066401792,517680608,1066401792,517680608,1066401792,507715024,1560281088
2_1_3_7,1066401792,507715024,1066401792,507192784,1066401792,507192784,1066401792,446375392,1560281088
2_1_3_8,1066401792,445853152,1066401792,445853152,1066401792,445853152,1066401792,447950304,1560281088
2_1_3_9,1066401792,447950304,1066401792,447950304,1066401792,447948256,1066401792,506146272,1560281088
2_1_5_0,1066401792,506146272,1066401792,505619936,1066401792,505619936,1066401792,543368672,1560281088
2_1_5_1,1066401792,543368672,1066401792,542846432,1066401792,542846432,1066401792,494614000,1560281088
