Query,NR,PM,TM
2_1_1_0,0,0,-47074944
2_1_1_1,0,0,96753008
2_1_1_2,0,0,-45281312
2_1_1_3,0,0,-90437816
2_1_1_4,0,0,72928392
2_1_1_5,0,0,-112113152
2_1_1_6,3552240,0,51604920
2_1_1_7,0,0,-17950784
2_1_1_8,0,0,94165184
2_1_1_9,0,0,-31901816
2_1_3_0,0,0,-60754112
2_1_3_1,0,0,-33402944
2_1_3_2,0,0,111792512
2_1_3_3,0,0,-97912184
2_1_3_4,0,0,93779664
2_1_3_5,0,0,-59711000
2_1_3_6,0,0,48679752
2_1_3_7,0,0,55737344
2_1_3_8,0,0,-69349168
2_1_3_9,0,0,15738648
2_1_5_0,0,0,-22011496
2_1_5_1,0,3627976,-76820840
2_1_5_2,0,0,108248448
2_1_5_3,2088,3596472,-31885696
2_1_5_4,0,0,60562288
2_1_5_5,0,0,-124383424
2_1_5_6,0,0,61613944
2_1_5_7,0,0,-97466496
2_1_5_8,0,0,106377872
2_1_5_9,0,0,19176416
2_2_1_0,3544072,0,-28267976
2_2_1_1,0,0,-78529456
2_2_1_2,0,0,95229672
2_2_1_3,0,0,-1030928
2_2_1_4,0,0,-64785448
2_2_1_5,0,0,389152
2_2_1_6,0,0,-53511008
2_2_1_7,0,0,135302264
2_2_1_8,0,0,-86070664
2_2_1_9,0,0,39719384
2_2_3_0,0,0,-64257808
2_2_3_1,0,0,138604744
2_2_3_2,0,0,-95031008
2_2_3_3,0,0,17497032
2_2_3_4,0,0,88479952
2_2_3_5,0,0,-94910160
2_2_3_6,0,3606928,-61057968
2_2_3_7,0,0,128676600
2_2_3_8,0,0,-132871248
2_2_3_9,0,0,135862600
2_2_5_0,0,3544048,-68116952
2_2_5_1,0,0,11080648
2_2_5_2,0,0,64288720
2_2_5_3,0,0,2036856
2_2_5_4,0,0,-61524848
2_2_5_5,0,0,-9370384
2_2_5_6,0,0,-66942928
2_2_5_7,0,3586032,101330384
2_2_5_8,0,3544096,-57993440
2_2_5_9,0,0,2305432
2_3_1_0,0,0,-63052352
2_3_1_1,0,0,20470184
2_3_1_2,0,3544064,103748992
2_3_1_3,3648872,0,-34348888
2_3_1_4,0,0,-57046944
2_3_1_5,0,0,-55083744
2_3_1_6,3544080,0,108183440
2_3_1_7,0,0,26148472
2_3_1_8,0,0,-37222736
2_3_1_9,0,0,-64540744
2_3_3_0,0,0,-44942704
2_3_3_1,0,0,-273648
2_3_3_2,0,0,105787600
2_3_3_3,0,0,26135864
2_3_3_4,0,0,-136792080
2_3_3_5,0,0,132178856
2_3_3_6,0,0,-33727000
2_3_3_7,0,0,-56111184
2_3_3_8,0,0,102711904
2_3_3_9,0,0,-79305352
2_3_5_0,0,0,90190104
2_3_5_1,0,0,-53312320
2_3_5_2,0,0,-4699824
2_3_5_3,0,0,31003488
2_3_5_4,0,0,45455688
2_3_5_5,0,0,-144246720
2_3_5_6,0,0,166215080
2_3_5_7,0,0,-31629944
2_3_5_8,0,0,-63834992
2_3_5_9,0,0,66728608
3_1_1_0,0,0,-77552816
3_1_1_1,0,0,-8513840
3_1_1_2,0,0,-1856728
3_1_1_3,0,0,63149080
3_1_1_4,0,0,-63608088
3_1_1_5,0,0,-46474136
3_1_1_6,0,0,135111672
3_1_1_7,0,0,-149866824
3_1_1_8,0,0,98742016
3_1_1_9,0,0,-63499136
3_1_3_0,0,0,95409616
3_1_3_1,0,0,-69415376
3_1_3_2,0,0,75535376
3_1_3_3,0,0,-44764232
3_1_3_4,0,0,-113900712
3_1_3_5,0,0,164421800
3_1_3_6,0,0,-106032336
3_1_3_7,0,0,52820992
3_1_3_8,0,0,-95946400
3_1_3_9,0,0,113069376
3_1_5_0,0,0,-103474512
3_1_5_1,0,0,-14168640
3_1_5_2,0,0,49714080
3_1_5_3,3554520,0,53686184
3_1_5_4,0,0,-60795296
3_1_5_5,0,0,3986344
3_1_5_6,0,0,-57013856
3_1_5_7,0,0,135215104
3_1_5_8,0,0,-99961032
3_1_5_9,0,0,10831440
3_2_1_0,0,0,-32163400
3_2_1_1,0,0,127970912
3_2_1_2,0,0,14653320
3_2_1_3,0,0,6677544
3_2_1_4,0,0,-75538072
3_2_1_5,0,0,-41067488
3_2_1_6,0,0,27524360
3_2_1_7,0,3544048,-24284872
3_2_1_8,0,0,-39217792
3_2_1_9,0,0,109850784
3_2_3_0,0,0,-98656512
3_2_3_1,0,0,-20449320
3_2_3_2,0,0,157030984
3_2_3_3,0,0,-85757408
3_2_3_4,0,0,96491112
3_2_3_5,0,0,-80248120
3_2_3_6,0,0,24582096
3_2_3_7,0,0,-60434192
3_2_3_8,0,0,10895784
3_2_3_9,0,0,-57002632
3_2_5_0,0,0,116901440
3_2_5_1,0,0,-84016808
3_2_5_2,0,0,130133352
3_2_5_3,0,0,-61066704
3_2_5_4,0,0,-112701360
3_2_5_5,0,0,108083040
3_2_5_6,0,0,19511584
3_2_5_7,0,0,-59081656
3_2_5_8,0,0,9461024
3_2_5_9,0,0,-59689256
3_3_1_0,0,0,27710160
3_3_1_1,2088,0,94920720
3_3_1_2,0,0,-14871272
3_3_1_3,0,0,-81276048
3_3_1_4,0,0,-51929992
3_3_1_5,0,0,114477736
3_3_1_6,0,0,30413184
3_3_1_7,0,0,-36423272
3_3_1_8,0,3606960,-73127152
3_3_1_9,0,3544096,111943680
3_3_3_0,0,0,-162892232
3_3_3_1,0,0,120115864
3_3_3_2,0,0,23004784
3_3_3_3,0,0,-66164944
3_3_3_4,0,0,-1143168
3_3_3_5,0,0,-70602104
3_3_3_6,0,0,70571400
3_3_3_7,0,0,-59691016
3_3_3_8,0,3638456,39769288
3_3_3_9,0,3544104,101493864
3_3_5_0,0,3701376,-104443328
3_3_5_1,0,3544080,68598792
3_3_5_2,0,3827232,-65589344
3_3_5_3,0,0,90397528
3_3_5_4,0,3869080,-9017608
3_3_5_5,0,3544088,-82642208
3_3_5_6,0,0,-79040568
3_3_5_7,0,0,85441416
3_3_5_8,0,0,75192048
3_3_5_9,0,0,-64209584
