Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,13,3136554,229020,190607,7715654765,0
2_1_1_1,13,3192578,137448,247104,7158220602,12
2_1_1_2,13,3137940,137238,206628,7521209862,0
2_1_1_3,13,3135806,141726,185418,7546794899,61
2_1_1_4,13,3133536,145924,168817,6910209314,0
2_1_1_5,13,3136724,150343,168065,6991068242,0
2_1_1_6,9,3512092,137478,127579,7085123080,0
2_1_1_7,13,3213684,159590,171352,7556371835,0
2_1_1_8,13,3225312,141465,170610,7043427137,195
2_1_1_9,11,3436176,146906,178335,7678268577,2059
2_1_3_0,21,3138464,155401,250811,7726269463,0
2_1_3_1,19,3363866,156764,246162,7591169904,0
2_1_3_2,19,3134878,154531,246302,7055548979,0
2_1_3_3,17,3133740,155692,206537,7562763549,0
2_1_3_4,19,6099198,161383,229681,8395401320,0
2_1_3_5,21,3288476,170760,247153,7703881593,0
2_1_3_6,21,4362742,154300,244349,7285062898,0
2_1_3_7,17,3136472,141545,213912,7011094016,0
2_1_3_8,17,3133654,159139,241193,7525723123,0
2_1_3_9,19,3473974,151405,242295,7640043234,0
2_1_5_0,27,3133766,189375,313117,7602782797,0
2_1_5_1,27,3953870,170951,311885,7903557138,0
2_1_5_2,29,3133536,198582,325882,6936922309,0
2_1_5_3,29,3373054,181301,325080,7686311616,0
2_1_5_4,25,3180122,159379,338676,7458850180,0
2_1_5_5,27,3133560,200194,314047,7687494319,0
2_1_5_6,29,3219822,183103,344885,7572136531,0
2_1_5_7,29,3134160,191598,331109,7540949641,0
2_1_5_8,27,3134310,196978,319889,7013014863,0
2_1_5_9,25,3238492,196097,320709,7841248250,0
2_2_1_0,27,7383808,152354,284542,7629824754,1
2_2_1_1,27,7313414,150812,301414,7565215410,5
2_2_1_2,19,7464597,149129,217396,7101904861,21859
2_2_1_3,27,7326001,147727,306123,7600748635,0
2_2_1_4,27,7319643,148708,302766,7597080137,321
2_2_1_5,27,13266884,158507,316922,8507796060,8245
2_2_1_6,27,7314934,210564,299220,7241770826,0
2_2_1_7,27,7315166,163686,284321,7589283292,0
2_2_1_8,27,7328520,168115,289271,7726073235,0
