Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,22,1861367,26427300,114528300,3999671600,1
2_1_1_1,22,1876403,195835000,216971100,3228862900,1330
2_1_1_2,22,1863731,188311800,246137500,3712068200,218
2_1_1_3,22,1861407,19633300,331163400,3529601100,95
2_1_1_4,22,1857627,124074400,183641300,3272424600,0
2_1_1_5,22,1860991,15862100,228551300,3359212100,160
2_1_1_6,18,2020903,13283700,49130300,3377137700,0
2_1_1_7,22,1892717,20400300,71005700,3303346100,922
2_1_1_8,22,1880631,16192900,78321200,3298828600,80
2_1_1_9,20,2026999,26426300,103019900,3523953200,3362
2_1_3_0,30,1862525,990070200,121747700,3287341100,0
2_1_3_1,28,1915211,24577100,106660700,3355752400,0
2_1_3_2,28,1859233,15247700,41602400,3268252900,0
2_1_3_3,26,1857795,15087300,43803600,3195327000,0
2_1_3_4,28,2925684,41652200,49041500,3818531000,206
2_1_3_5,30,1896369,15058100,39942600,3269144500,0
2_1_3_6,30,2166835,17302900,31898400,3367705300,0
2_1_3_7,26,1860667,15978200,21311300,3081394900,0
2_1_3_8,26,1857695,11269200,16689400,3021742200,3
2_1_3_9,28,1944379,8702300,17198600,3242575200,0
2_1_5_0,36,1857821,12365700,68767000,3072800300,0
2_1_5_1,36,2068945,13187000,31341300,3404627900,1163
2_1_5_2,38,1857629,16692000,87297500,3040635000,0
2_1_5_3,38,1917189,39675800,43839600,3318559900,0
2_1_5_4,34,1871571,10857700,41448000,3048439600,0
2_1_5_5,36,1857641,11401500,33811300,3177966000,0
2_1_5_6,38,1880919,16561500,31674400,3110046700,0
2_1_5_7,38,1858369,11906300,39052400,3273088600,0
2_1_5_8,36,1858487,8724700,32241500,2922617900,0
2_1_5_9,34,1884309,17676400,22868900,3304888400,15
2_2_1_0,36,2937400,114623800,90342100,3083890400,23
2_2_1_1,36,2921222,12445900,59500900,3356762200,88
2_2_1_2,33,3821403,87902400,20994300,2980784100,270962
2_2_1_3,36,2932757,11423200,35571600,3294308900,2658
2_2_1_4,36,2927961,11691200,30201600,2954884800,607
2_2_1_5,36,4410511,14796200,80153000,3714955200,212889
2_2_1_6,36,2922874,10748100,33308500,3036563000,0
2_2_1_7,36,2924565,12048700,32068600,2989744400,0
2_2_1_8,36,2923353,13516200,31356800,3219497100,165
