Query,NR,PM,TM
2_1_1_0,6311480,2051624,71320368
2_1_1_1,0,0,30646840
2_1_1_2,0,0,4966432
2_1_1_3,0,0,73898248
2_1_1_4,0,0,-102814936
2_1_1_5,0,0,56442264
2_1_1_6,0,147904,35257368
2_1_1_7,0,0,-102797944
2_1_1_8,0,0,74456472
2_1_1_9,0,0,53133736
2_1_3_0,0,3544008,-102806032
2_1_3_1,0,36720,59602824
2_1_3_2,0,0,18512088
2_1_3_3,0,0,33777080
2_1_3_4,0,0,-170922448
2_1_3_5,0,3961384,187013968
2_1_3_6,0,0,-117769640
2_1_3_7,0,0,74458784
2_1_3_8,0,0,60608520
2_1_3_9,0,0,-101532904
2_1_5_0,0,0,197229808
2_1_5_1,0,0,-266186760
2_1_5_2,0,0,232280488
2_1_5_3,0,0,-204603712
2_1_5_4,0,0,256758328
2_1_5_5,0,0,-166807392
2_1_5_6,0,0,125651608
2_1_5_7,0,0,-164349192
2_1_5_8,0,13080,63200440
2_1_5_9,0,0,-119718992
2_2_1_0,0,0,169238872
2_2_1_1,0,0,-110902256
2_2_1_2,3953152,0,145984256
2_2_1_3,0,0,-265588216
2_2_1_4,0,0,220153888
2_2_1_5,0,0,-217453968
2_2_1_6,0,0,153006720
2_2_1_7,3544552,0,-88962288
2_2_1_8,0,0,220325656
2_2_1_9,0,0,-217957016
2_2_3_0,0,0,190584624
2_2_3_1,0,0,151361696
2_2_3_2,0,0,-355365008
2_2_3_3,0,0,208830320
2_2_3_4,0,0,105833328
2_2_3_5,0,0,-237868728
2_2_3_6,0,4571856,182602992
2_2_3_7,0,0,170708128
2_2_3_8,0,0,-326400208
2_2_3_9,0,0,168470440
2_2_5_0,0,0,165402272
2_2_5_1,0,0,-326957600
2_2_5_2,0,0,160589664
2_2_5_3,0,0,149630648
2_2_5_4,0,0,-371245096
2_2_5_5,0,0,218287592
2_2_5_6,0,0,186628376
2_2_5_7,0,0,-533569552
2_2_5_8,0,0,171867608
2_2_5_9,0,0,163541768
2_3_1_0,0,0,-331103280
2_3_1_1,0,0,368373760
2_3_1_2,0,0,151644960
2_3_1_3,0,0,-347607584
2_3_1_4,0,0,107940160
2_3_1_5,0,0,205482512
2_3_1_6,0,4403800,-348103360
2_3_1_7,0,0,183832504
2_3_1_8,0,0,130587424
2_3_1_9,0,0,-319343136
2_3_3_0,0,0,116461552
2_3_3_1,0,0,164736960
2_3_3_2,0,0,-322469552
2_3_3_3,0,4970128,114490832
2_3_3_4,0,0,253418224
2_3_3_5,0,0,-327763656
2_3_3_6,0,0,125728056
2_3_3_7,0,0,153082320
2_3_3_8,0,0,-324252800
2_3_3_9,0,0,119868064
2_3_5_0,0,4645104,236912424
2_3_5_1,4770872,0,-346228224
2_3_5_2,0,0,129902880
2_3_5_3,0,0,155382912
2_3_5_4,0,0,187348352
2_3_5_5,0,0,-549643592
2_3_5_6,0,0,280347696
2_3_5_7,0,0,200530872
2_3_5_8,0,4372432,-5528408
2_3_5_9,0,0,-530976448
3_1_1_0,0,0,342648464
3_1_1_1,0,0,108395712
